payroll (M's),HR,W,ERA,WinPercent,divID,H
68.775237,194,73,4.08,0.450617284,C,1299
5.764821,141,77,4.48,0.475308642,W,1453
8.748167,196,71,4.77,0.438271605,W,1446
6.3975,196,85,4.63,0.524691358,W,1422
12.462666,151,91,3.93,0.561728395,W,1508
15.531666,117,80,4.28,0.49382716,W,1542
14.602,100,74,4.12,0.456790123,W,1458
23.361833,140,95,3.69,0.586419753,W,1557
28.027834,104,90,3.7,0.555555556,W,1544
28.217933,121,71,4.71,0.438271605,W,1480
28.4385,103,53,5.68,0.469026549,C,1092
25.4105,120,56,5.76,0.388888889,C,1398
23.117,118,78,5.28,0.481481481,C,1633
34.0725,132,68,5,0.419753086,C,1522
27.9275,115,70,4.75,0.432098765,C,1499
21.2575,105,63,5,0.39375,C,1450
16.5195,116,69,5.14,0.425925926,C,1516
24.13,164,85,4.51,0.524691358,C,1514
40.425,167,94,4.12,0.583850932,C,1518
55.505,155,90,4.41,0.555555556,C,1567
53.585,191,92,4.03,0.567901235,C,1494
56.186,134,83,3.71,0.512345679,C,1441
63.396006,143,96,3.95,0.592592593,C,1608
71.4395,118,79,4.15,0.487654321,C,1460
56.932766,111,88,4.16,0.539877301,C,1572
65.299266,172,87,4.5,0.533742331,C,1539
97.559166,142,94,3.95,0.580246914,C,1521
112.737,103,63,4.58,0.388888889,C,1357
94.085,131,66,4.77,0.407407407,C,1448
75.3375,151,66,4.55,0.407407407,C,1346
83.7625,128,70,4.57,0.432098765,C,1412
107.755,156,83,4.07,0.512345679,C,1349
102.5832,200,59,5.08,0.364197531,C,1409
11.284107,101,71,4.39,0.440993789,E,1467
9.943642,127,77,4.01,0.47826087,E,1393
7.293224,163,91,4.62,0.561728395,E,1552
8.402,113,87,3.45,0.537037037,E,1409
11.533,126,81,3.8,0.5,E,1415
19.719167,128,74,4.08,0.456790123,E,1408
23.1155,116,83,4.14,0.512345679,E,1523
31.013667,82,92,3.43,0.567901235,E,1477
23.806834,125,69,4.45,0.425925926,E,1426
24.3505,99,53,4.62,0.460869565,C,1045
17.798825,128,65,4.82,0.451388889,C,1329
21.73,178,80,5.14,0.49382716,C,1578
23.655338,135,78,4.22,0.48447205,C,1415
9.470166,118,84,3.55,0.52173913,E,1342
11.1036,110,78,3.78,0.48447205,E,1401
6.942052,120,91,3.92,0.561728395,E,1467
9.603333,107,81,3.08,0.5,E,1400
13.807389,100,81,3.48,0.5,E,1353
16.586388,114,85,3.37,0.524691358,E,1363
10.732333,95,71,3.64,0.440993789,E,1329
15.822334,102,87,3.25,0.537037037,E,1381
18.899333,122,94,3.55,0.580246914,E,1410
19.098,108,74,3.56,0.649122807,E,1111
12.364,118,66,4.11,0.458333333,E,1268
16.2645,148,88,3.78,0.543209877,E,1441
19.2955,172,78,4.14,0.481481481,E,1423
10.6415,147,65,4.38,0.401234568,E,1348
17.903,163,68,4.69,0.419753086,E,1473
32.994333,178,67,5.13,0.413580247,E,1475
35.1595,131,68,4.68,0.419753086,E,1361
38.6705,162,83,3.97,0.512345679,E,1432
51.9485,144,83,4.01,0.512345679,E,1404
40.8975,151,67,4.33,0.413580247,E,1361
14.238204,176,97,3.69,0.602484472,E,1458
18.494253,188,90,4.11,0.555555556,E,1512
17.099714,196,89,4.36,0.549382716,E,1445
19.441152,148,85,4.26,0.527950311,E,1469
17.114375,130,74,4.5,0.459627329,E,1470
20.912318,147,67,4.21,0.413580247,E,1322
27.344168,147,71,4.42,0.438271605,E,1418
37.543334,163,76,4.21,0.469135802,E,1462
42.6249,178,88,4.35,0.543209877,E,1568
45.731334,139,70,4.34,0.619469027,E,1155
48.874851,122,79,4.56,0.548611111,E,1365
54.191792,162,92,4.65,0.567901235,E,1621
62.241545,161,96,3.84,0.592592593,E,1636
66.806867,207,114,3.82,0.703703704,E,1625
86.734359,193,98,4.13,0.604938272,E,1568
92.33826,205,87,4.76,0.540372671,E,1541
112.287143,203,95,4.02,0.59375,E,1488
125.928583,223,103,3.87,0.639751553,E,1540
152.749814,230,101,4.02,0.62345679,E,1518
184.19395,242,101,4.69,0.62345679,E,1483
208.306817,229,95,4.52,0.586419753,E,1552
194.663079,210,97,4.41,0.598765432,E,1608
189.259045,201,94,4.49,0.580246914,E,1656
207.896789,180,89,4.28,0.549382716,E,1512
201.449189,244,103,4.26,0.635802469,E,1604
206.333389,201,95,4.06,0.586419753,E,1485
202.275028,222,97,3.73,0.598765432,E,1452
196.522289,245,95,3.84,0.586419753,E,1462
231.978886,144,85,3.94,0.524691358,E,1321
197.543907,147,84,3.75,0.518518519,E,1349
212.751957,212,87,4.03,0.537037037,E,1397
222.997792,183,84,4.16,0.518518519,E,1378
10.834762,134,98,3.11,0.604938272,E,1425
15.393714,148,108,3.11,0.666666667,E,1462
13.846714,192,92,3.84,0.567901235,E,1499
15.269314,152,100,2.91,0.625,E,1387
19.885071,147,87,3.29,0.537037037,E,1351
21.722834,172,91,3.43,0.561728395,E,1410
32.590001,117,77,3.56,0.47826087,E,1305
44.602002,93,72,3.66,0.444444444,E,1254
39.043667,158,59,4.05,0.364197531,E,1350
30.956583,117,55,4.13,0.486725664,E,966
27.674992,125,69,3.88,0.479166667,E,1323
24.4795,147,71,4.22,0.438271605,E,1515
39.8004,153,88,3.95,0.543209877,E,1448
52.077999,136,88,3.76,0.543209877,E,1425
65.092092,181,97,4.27,0.595092025,E,1553
79.509776,198,94,4.16,0.580246914,E,1445
93.174428,147,82,4.07,0.50617284,E,1361
94.633593,160,75,3.89,0.465838509,E,1409
